receiver_player_id,receiver_player_name,targets,Receptions,AirYards,ReceivingYards,completeAirYards,Touchdowns,expReceptions,expCompAirYards,PPR_points
00-0032765,M.Thomas,56,48,418,609,377,3,36.60329699740662,230.70307231191296,126.9
00-0033921,C.Godwin,50,40,469,552,336,4,31.451624151107644,252.52546709540286,119.2
00-0027150,J.Edelman,63,46,519,467,313,4,41.17616476741055,278.90503480772526,116.7
00-0031408,M.Evans,52,36,758,563,449,4,29.570471512603294,350.82932333911083,116.30000000000001
00-0031588,S.Diggs,40,32,599,609,392,3,22.51668028398504,250.91416110025799,110.9
00-0032211,T.Lockett,44,37,456,490,355,4,26.99461762432362,226.40540883653216,110
00-0030564,D.Hopkins,63,49,562,447,297,2,40.6843381870527,302.4178339574775,105.7
00-0033908,C.Kupp,55,35,451,525,258,3,35.496039137652886,252.9149402351472,105.5
00-0033932,K.Golladay,34,21,566,464,318,5,18.360313245186127,250.1313518194045,97.4
00-0034348,C.Sutton,46,28,523,445,303,4,27.156159501695065,262.0193971926741,96.5
00-0032392,A.Hooper,39,33,285,414,247,3,25.86511235521462,162.86270916072613,92.4
00-0029293,M.Jones,36,27,431,335,280,5,21.409224147085737,211.1842884985825,90.5
00-0033699,A.Ekeler,40,36,54,322,39,3,28.95845430820602,12.551077414583299,86.2
00-0031544,A.Cooper,35,26,503,463,315,2,19.879259581356955,229.26908162702503,84.30000000000001
00-0033040,T.Hill,32,20,531,370,288,4,17.280928124926056,222.12779035954625,81
00-0031428,A.Robinson,43,30,503,329,272,3,26.089402342022826,241.50665039003474,80.9
00-0035640,DK.Metcalf,35,20,382,308,202,5,20.41113074729036,190.0882636087627,80.8
00-0033288,G.Kittle,35,29,252,376,185,2,23.59820679026047,143.09716066558647,78.6
00-0033293,A.Jones,38,29,76,316,36,3,28.16895904383272,16.042186650271205,78.6
00-0030506,T.Kelce,49,32,419,405,241,1,31.204347631472455,236.36287943634787,78.5
00-0027944,J.Jones,43,31,570,447,369,0,24.80352822131651,287.2485806683295,75.7
00-0030061,Z.Ertz,45,29,429,337,249,2,28.14255741475772,240.22885542067488,74.7
00-0031547,D.Parker,32,22,335,269,202,4,19.711132774870396,177.90732827621233,72.9
00-0029137,A.Jeffery,47,29,436,304,217,2,29.137328692499885,218.32473097980514,71.4
00-0031382,J.Landry,41,26,314,394,210,1,25.79683777265523,173.18159938784018,71.4
00-0033127,W.Fuller,32,23,393,290,133,3,19.53726547230326,155.7768039932861,70
00-0033090,H.Henry,33,25,351,328,251,2,19.82292412721134,195.22447076431146,69.80000000000001
00-0029632,M.Sanu,40,30,284,269,159,2,26.251932636467743,155.57064940829176,68.9
00-0031062,J.White,43,36,111,329,84,0,30.82786027047789,45.44262454424834,68.9
