receiver_player_id,receiver_player_name,targets,Receptions,AirYards,ReceivingYards,completeAirYards,Touchdowns,expReceptions,expCompAirYards,PPR_points
00-0032765,M.Thomas,89,73,691,875,565,4,57.78380158805539,395.200313059806,184.5
00-0031408,M.Evans,79,50,1227,842,703,7,43.719450587970776,552.9719676133683,176.2
00-0032211,T.Lockett,72,59,770,767,550,6,43.96217761008813,361.55214728973016,171.7
00-0033908,C.Kupp,86,58,640,792,388,5,55.82572549120078,369.88305385498,167.2
00-0033921,C.Godwin,69,54,726,766,483,6,42.418164456823376,367.1335331650081,166.60000000000002
00-0027150,J.Edelman,88,63,726,663,433,5,57.34691139369924,398.4988191586796,159.3
00-0030564,D.Hopkins,91,68,862,665,446,4,58.02927187752124,449.560749251227,158.5
00-0031544,A.Cooper,56,42,739,701,501,6,32.727601739538606,357.1390136335687,148.10000000000002
00-0027944,J.Jones,71,50,900,712,540,4,41.58292245792766,443.57990995226,145.2
00-0032392,A.Hooper,60,52,397,591,338,5,40.50524470607248,233.27167987100296,141.1
00-0033932,K.Golladay,59,35,914,640,468,7,32.238937062655616,409.7436435966311,141
00-0033699,A.Ekeler,60,55,38,530,21,5,44.6760418946482,-17.998035735025677,138
00-0030279,K.Allen,81,54,969,657,503,3,47.52160004471193,485.4023544197087,137.7
00-0034348,C.Sutton,68,44,777,692,467,4,40.16418566975879,396.8885292951418,137.2
00-0031588,S.Diggs,50,38,771,706,479,4,28.066154486180416,323.8257041236638,132.60000000000002
00-0029293,M.Jones,54,42,653,535,464,6,31.769210424145975,322.5160651301005,131.5
00-0030506,T.Kelce,74,49,698,689,441,2,46.338076699866036,369.6608288513245,129.9
00-0031610,D.Waller,59,48,386,548,257,3,39.209974358644665,213.15206380262504,120.80000000000001
00-0031428,A.Robinson,68,47,751,532,429,3,41.72199934454255,365.7108917310395,118.2
00-0035640,DK.Metcalf,54,29,720,525,381,6,30.334162895122475,337.1287532263806,117.5
00-0027685,E.Sanders,55,41,556,504,348,4,33.85320871482586,291.43647423658075,115.4
00-0031051,J.Brown,58,42,825,603,496,2,32.116443470865626,387.1141052648627,114.30000000000001
00-0034777,D.Chark,43,30,610,528,385,5,23.998906789679722,271.8132907710243,112.80000000000001
00-0033288,G.Kittle,56,46,364,541,260,2,36.994433741196815,210.02554783742178,112.1
00-0035659,T.McLaurin,51,32,688,497,390,5,29.980902462315353,327.6026095646853,111.7
00-0030061,Z.Ertz,74,46,652,527,384,2,46.60798223107343,376.008397900521,110.7
00-0033009,T.Boyd,79,51,551,536,300,1,50.02738404903208,285.5291787890866,110.6
00-0033881,E.Engram,67,44,404,467,215,3,45.00283201547031,227.32572218885826,108.7
00-0034827,D.Moore,67,45,698,564,366,1,40.25070033469319,339.47031922565293,107.4
00-0034753,M.Andrews,55,38,508,470,324,3,35.321863355728574,280.95708444402976,103
00-0022921,L.Fitzgerald,62,42,514,485,307,2,40.27586717877553,240.1250317158943,102.5
00-0030035,A.Thielen,41,27,494,395,277,6,23.575036206035996,236.15921035301764,102.5
00-0031235,O.Beckham,64,39,663,575,348,1,38.203692851720774,305.2050924604042,102.5
00-0034837,C.Ridley,51,33,676,443,370,4,29.284007741091635,325.3980104525956,101.30000000000001
00-0031325,S.Watkins,56,35,479,473,241,3,35.29802114711709,241.31148312468954,100.30000000000001
