QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Matt Ryan,Alvin Kamara,David Montgomery,Michael Thomas,Devante Parker,Allen Hurns,Mike Gesicki,Detroit Lions,James White,138.73,113.04
Matt Ryan,Alvin Kamara,Sony Michel,Michael Thomas,Mike Evans,Russell Gage,Dallas Goedert,New Orleans Saints,Tim Patrick,138.1,106.54
Matt Ryan,Le'Veon Bell,Brian Hill,Michael Thomas,Julio Jones,Devante Parker,Vance McDonald,Cincinnati Bengals,Russell Gage,136.96,109.84
Matt Ryan,Phillip Lindsay,Kalen Ballage,Michael Thomas,Julio Jones,Calvin Ridley,Dallas Goedert,Detroit Lions,Benjamin Watson,135.41,101.14
Matt Ryan,Alvin Kamara,Le'Veon Bell,Michael Thomas,Julian Edelman,Anthony Miller,Jason Witten,Denver Broncos,Benjamin Watson,135.09,110.24
Matt Ryan,David Montgomery,Miles Sanders,Michael Thomas,Mike Evans,Calvin Ridley,Vance McDonald,Denver Broncos,Demaryius Thomas,135.05,95.74
Matt Ryan,Le'Veon Bell,Devin Singletary,Michael Thomas,Courtland Sutton,Tim Patrick,Zach Ertz,Detroit Lions,Noah Fant,134.71,114.44
Matt Ryan,Alvin Kamara,Miles Sanders,Julio Jones,Mike Evans,Devante Parker,Noah Fant,Tampa Bay Buccaneers,Jason Witten,134.65,98.24
Jameis Winston,Alvin Kamara,Miles Sanders,Michael Thomas,Julio Jones,Tim Patrick,Cameron Brate,Detroit Lions,Vance McDonald,134.37,111.42
Matt Ryan,Alvin Kamara,Phillip Lindsay,Michael Thomas,D.J. Chark,Tyler Boyd,Vance McDonald,Seattle Seahawks,Tyler Eifert,134.34,119.44
Russell Wilson,Alvin Kamara,Brian Hill,Michael Thomas,Taylor Gabriel,Demaryius Thomas,Zach Ertz,Detroit Lions,Dallas Goedert,134.13,116.9
Matt Ryan,Alvin Kamara,Le'Veon Bell,Julio Jones,Calvin Ridley,Tyler Boyd,Mike Gesicki,Jacksonville Jaguars,Tim Patrick,133.91,115.64
Baker Mayfield,Leonard Fournette,Le'Veon Bell,Michael Thomas,Mike Evans,Devante Parker,Mike Gesicki,Tampa Bay Buccaneers,Tim Patrick,133.88,162.58
Matt Ryan,Alvin Kamara,Kalen Ballage,Michael Thomas,Tyrell Williams,Demaryius Thomas,Darren Waller,Cincinnati Bengals,Noah Fant,133.86,87.04
Matt Ryan,Le'Veon Bell,James White,Michael Thomas,Mike Evans,Taylor Gabriel,Cameron Brate,Jacksonville Jaguars,Kalen Ballage,133.82,71.94
Ryan Fitzpatrick,Alvin Kamara,Le'Veon Bell,Michael Thomas,Devante Parker,Albert Wilson,Dallas Goedert,Chicago Bears,Phillip Lindsay,133.81,134.96
Jameis Winston,Alvin Kamara,Le'Veon Bell,Michael Thomas,Calvin Ridley,Russell Gage,Noah Fant,Tampa Bay Buccaneers,Allen Hurns,133.57,165.62
Jameis Winston,Derrick Henry,James White,Michael Thomas,Mike Evans,Devante Parker,Jason Witten,Denver Broncos,Russell Gage,133.3,137.02
Matt Ryan,Phillip Lindsay,Brian Hill,Michael Thomas,Mike Evans,Chris Godwin,Jason Witten,Philadelphia Eagles,Mike Gesicki,133.24,125.94
Matt Ryan,Le'Veon Bell,David Montgomery,Michael Thomas,D.J. Moore,Golden Tate,Greg Olsen,Tampa Bay Buccaneers,Dallas Goedert,133.22,140.94
Matt Ryan,Derrick Henry,James White,Michael Thomas,Julio Jones,Demaryius Thomas,OJ Howard,Chicago Bears,Tim Patrick,133.2,95.44
Matt Ryan,Leonard Fournette,Miles Sanders,Michael Thomas,Devante Parker,Jordan Matthews,Zach Ertz,New England Patriots,Dallas Goedert,133.07,152.34
Matt Ryan,Alvin Kamara,James White,Julio Jones,Taylor Gabriel,Russell Gage,Zach Ertz,Denver Broncos,Phillip Lindsay,133.06,98.94
Jameis Winston,Le'Veon Bell,David Montgomery,Julio Jones,Mike Evans,Devante Parker,Dallas Goedert,Detroit Lions,Sony Michel,133.05,111.82
Baker Mayfield,Alvin Kamara,Sony Michel,Michael Thomas,Odell Beckham Jr,Devante Parker,Noah Fant,Denver Broncos,Vance McDonald,133.05,129.38
