QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Patrick Mahomes,David Johnson,Marlon Mack,Keenan Allen,Sterling Shepard,Paul Richardson,Evan Engram,Los Angeles Chargers,Dontrelle Inman,152.51,110.9
Patrick Mahomes,Wayne Gallman,Chris Thompson,Keenan Allen,Cooper Kupp,Tyler Lockett,Will Dissly,Los Angeles Chargers,Larry Fitzgerald,151.03,148.0
Russell Wilson,Leonard Fournette,Phillip Lindsay,Keenan Allen,Tyler Lockett,Christian Kirk,Evan Engram,Los Angeles Chargers,Greg Olsen,149.56,100.9
Patrick Mahomes,Phillip Lindsay,Devonta Freeman,Keenan Allen,Kenny Golladay,Dontrelle Inman,Travis Kelce,Chicago Bears,Darren Waller,149.15,136.9
Patrick Mahomes,Christian McCaffrey,Leonard Fournette,Keenan Allen,Christian Kirk,D.K. Metcalf,Will Dissly,Los Angeles Rams,Dontrelle Inman,148.21,141.4
Patrick Mahomes,Leonard Fournette,Devonta Freeman,DeAndre Hopkins,Keenan Allen,Curtis Samuel,T.J. Hockenson,Los Angeles Chargers,Will Fuller,147.74,120.7
Russell Wilson,Christian McCaffrey,Kerryon Johnson,Keenan Allen,Larry Fitzgerald,Paul Richardson,Evan Engram,Chicago Bears,Will Dissly,147.66,136.9
Philip Rivers,Leonard Fournette,Kerryon Johnson,Keenan Allen,Cooper Kupp,Brandin Cooks,Darren Waller,Los Angeles Chargers,Dontrelle Inman,147.21,161.3
Patrick Mahomes,David Johnson,Chris Thompson,Keenan Allen,Sammy Watkins,Kenny Golladay,Greg Olsen,Carolina Panthers,Will Fuller,146.31,115.6
Russell Wilson,Christian McCaffrey,Chris Thompson,Julio Jones,Keenan Allen,Mohamed Sanu,Austin Hooper,Los Angeles Chargers,Dontrelle Inman,146.05,144.0
Patrick Mahomes,Austin Ekeler,Devonta Freeman,Kenny Golladay,Marvin Jones,Christian Kirk,Evan Engram,Los Angeles Chargers,Will Dissly,145.62,150.0
Patrick Mahomes,Leonard Fournette,Phillip Lindsay,Julio Jones,Keenan Allen,Calvin Ridley,Austin Hooper,Atlanta Falcons,Paul Richardson,145.56,112.2
Patrick Mahomes,Christian McCaffrey,Phillip Lindsay,Keenan Allen,Sammy Watkins,Trey Quinn,Evan Engram,Tampa Bay Buccaneers,T.J. Hockenson,145.26,118.2
Patrick Mahomes,Nick Chubb,Marlon Mack,Keenan Allen,Tyler Lockett,Marvin Jones,T.J. Hockenson,Carolina Panthers,Christian Kirk,144.93,130.8
