QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Lamar Jackson ($8100),Christian McCaffrey ($10000),Alvin Kamara ($7200),T.Y. Hilton ($5800),Terry McLaurin ($5600),DeSean Jackson ($4900),Logan Thomas ($2800),Jets ($2100),Dontrelle Inman ($3400),143.3
Lamar Jackson ($8100),Alvin Kamara ($7200),Miles Sanders ($6300),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Marquise Brown ($5100),Mark Andrews ($6000),Jets ($2100),Chris Thompson ($3000),142.1
Carson Wentz ($6300),Alvin Kamara ($7200),Antonio Gibson ($4000),Adam Thielen ($6700),Kenny Golladay ($6200),Calvin Ridley ($6100),Zach Ertz ($5800),Jets ($2100),Terry McLaurin ($5600),142
Cam Newton ($6100),Dalvin Cook ($7900),Alvin Kamara ($7200),Davante Adams ($7300),Adam Thielen ($6700),Marquise Brown ($5100),Robert Tonyan ($2500),Jets ($2100),DeSean Jackson ($4900),141.7
Lamar Jackson ($8100),Dalvin Cook ($7900),Miles Sanders ($6300),Davante Adams ($7300),Adam Thielen ($6700),Terry McLaurin ($5600),Irv Smith Jr. ($3100),Dolphins ($2000),Chris Thompson ($3000),141.3
Carson Wentz ($6300),Christian McCaffrey ($10000),Miles Sanders ($6300),Kenny Golladay ($6200),Marquise Brown ($5100),DeSean Jackson ($4900),Zach Ertz ($5800),Dolphins ($2000),Dontrelle Inman ($3400),141.2
Lamar Jackson ($8100),Dalvin Cook ($7900),Antonio Gibson ($4000),Odell Beckham Jr. ($5900),Terry McLaurin ($5600),Marquise Brown ($5100),Zach Ertz ($5800),Lions ($2700),DeSean Jackson ($4900),140.4
Carson Wentz ($6300),Dalvin Cook ($7900),Alvin Kamara ($7200),DK Metcalf ($5800),Terry McLaurin ($5600),DeSean Jackson ($4900),Dallas Goedert ($4100),Dolphins ($2000),Todd Gurley II ($6100),140.2
Drew Brees ($6800),Alvin Kamara ($7200),Ronald Jones II ($5200),Michael Thomas ($9000),T.Y. Hilton ($5800),Terry McLaurin ($5600),Chris Herndon ($3300),Dolphins ($2000),Marquise Brown ($5100),139.8
Matt Ryan ($6700),Alvin Kamara ($7200),Miles Sanders ($6300),Tyler Lockett ($6500),Calvin Ridley ($6100),DK Metcalf ($5800),Ian Thomas ($3400),Jets ($2100),T.Y. Hilton ($5800),139.7
Kirk Cousins ($5700),Dalvin Cook ($7900),Alvin Kamara ($7200),Davante Adams ($7300),Kenny Golladay ($6200),T.Y. Hilton ($5800),Irv Smith Jr. ($3100),Patriots ($3200),Dontrelle Inman ($3400),139.5
Dwayne Haskins Jr. ($5000),Christian McCaffrey ($10000),Antonio Gibson ($4000),Davante Adams ($7300),Kenny Golladay ($6200),T.Y. Hilton ($5800),Dallas Goedert ($4100),Dolphins ($2000),Terry McLaurin ($5600),139.5
Lamar Jackson ($8100),Todd Gurley II ($6100),J.K. Dobbins ($5000),DK Metcalf ($5800),T.Y. Hilton ($5800),Marquise Brown ($5100),Mark Andrews ($6000),Patriots ($3200),DeSean Jackson ($4900),139.4
Cam Newton ($6100),Alvin Kamara ($7200),Joe Mixon ($6700),Terry McLaurin ($5600),DeSean Jackson ($4900),Steven Sims Jr. ($4700),Zach Ertz ($5800),Raiders ($2600),Miles Sanders ($6300),138.9
Tom Brady ($6500),Alvin Kamara ($7200),Miles Sanders ($6300),Michael Thomas ($9000),Chris Godwin ($7100),DeSean Jackson ($4900),Chris Herndon ($3300),Lions ($2700),Chris Thompson ($3000),138.8
Gardner Minshew II ($5800),Christian McCaffrey ($10000),Alvin Kamara ($7200),T.Y. Hilton ($5800),Marquise Brown ($5100),Parris Campbell ($3900),Mo Alie-Cox ($2600),Patriots ($3200),Miles Sanders ($6300),138.6
Matthew Stafford ($6200),Alvin Kamara ($7200),Josh Jacobs ($6800),Kenny Golladay ($6200),Terry McLaurin ($5600),Marvin Jones Jr. ($5500),T.J. Hockenson ($4200),Patriots ($3200),Marquise Brown ($5100),138.6
Josh Allen ($6500),Alvin Kamara ($7200),Antonio Gibson ($4000),Michael Thomas ($9000),DK Metcalf ($5800),DeSean Jackson ($4900),Zach Ertz ($5800),Patriots ($3200),Dontrelle Inman ($3400),138.6
Carson Wentz ($6300),Josh Jacobs ($6800),Todd Gurley II ($6100),Davante Adams ($7300),T.Y. Hilton ($5800),Terry McLaurin ($5600),Zach Ertz ($5800),Lions ($2700),Dontrelle Inman ($3400),138.5
