QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Lamar Jackson ($8100),Christian McCaffrey ($10000),Alvin Kamara ($7200),T.Y. Hilton ($5800),Terry McLaurin ($5600),Marquise Brown ($5100),Logan Thomas ($2800),Dolphins ($2000),Dontrelle Inman ($3400),143.5
Tyrod Taylor ($5600),Alvin Kamara ($7200),Joe Mixon ($6700),Kenny Golladay ($6200),T.Y. Hilton ($5800),Terry McLaurin ($5600),Zach Ertz ($5800),Jets ($2100),DeSean Jackson ($4900),143
Lamar Jackson ($8100),Dalvin Cook ($7900),Alvin Kamara ($7200),Davante Adams ($7300),Kenny Golladay ($6200),Marquise Brown ($5100),Irv Smith Jr. ($3100),Jets ($2100),Chris Thompson ($3000),142.9
Carson Wentz ($6300),Christian McCaffrey ($10000),Alvin Kamara ($7200),Adam Thielen ($6700),Terry McLaurin ($5600),DeSean Jackson ($4900),Irv Smith Jr. ($3100),Patriots ($3200),Chris Thompson ($3000),142
Cam Newton ($6100),Dalvin Cook ($7900),Alvin Kamara ($7200),Adam Thielen ($6700),Calvin Ridley ($6100),DK Metcalf ($5800),Robert Tonyan ($2500),Jets ($2100),Terry McLaurin ($5600),141.5
Carson Wentz ($6300),Dalvin Cook ($7900),Miles Sanders ($6300),Davante Adams ($7300),T.Y. Hilton ($5800),Terry McLaurin ($5600),Zach Ertz ($5800),Dolphins ($2000),Chris Thompson ($3000),141.3
Lamar Jackson ($8100),Alvin Kamara ($7200),Miles Sanders ($6300),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),DeSean Jackson ($4900),Mark Andrews ($6000),Jets ($2100),Dontrelle Inman ($3400),141.2
Cam Newton ($6100),Dalvin Cook ($7900),Alvin Kamara ($7200),Davante Adams ($7300),T.Y. Hilton ($5800),DeSean Jackson ($4900),Dallas Goedert ($4100),Lions ($2700),Antonio Gibson ($4000),141.1
Tom Brady ($6500),Alvin Kamara ($7200),Miles Sanders ($6300),Chris Godwin ($7100),Kenny Golladay ($6200),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Patriots ($3200),Marquise Brown ($5100),140.8
Lamar Jackson ($8100),Alvin Kamara ($7200),Antonio Gibson ($4000),Kenny Golladay ($6200),Calvin Ridley ($6100),Terry McLaurin ($5600),Dallas Goedert ($4100),Patriots ($3200),Marvin Jones Jr. ($5500),140.8
Tom Brady ($6500),Alvin Kamara ($7200),Ronald Jones II ($5200),Davante Adams ($7300),Adam Thielen ($6700),Kenny Golladay ($6200),Chris Herndon ($3300),Dolphins ($2000),Terry McLaurin ($5600),140.7
Lamar Jackson ($8100),Dalvin Cook ($7900),Miles Sanders ($6300),Adam Thielen ($6700),T.Y. Hilton ($5800),Marquise Brown ($5100),Robert Tonyan ($2500),Raiders ($2600),DeSean Jackson ($4900),140.6
Lamar Jackson ($8100),Josh Jacobs ($6800),Antonio Gibson ($4000),Davante Adams ($7300),Adam Thielen ($6700),T.Y. Hilton ($5800),Zach Ertz ($5800),Jets ($2100),Dontrelle Inman ($3400),140.3
Cam Newton ($6100),Christian McCaffrey ($10000),Todd Gurley II ($6100),Odell Beckham Jr. ($5900),Terry McLaurin ($5600),Marquise Brown ($5100),Dallas Goedert ($4100),Jets ($2100),DeSean Jackson ($4900),140.3
Lamar Jackson ($8100),Alvin Kamara ($7200),Antonio Gibson ($4000),Michael Thomas ($9000),DK Metcalf ($5800),DeSean Jackson ($4900),Zach Ertz ($5800),Dolphins ($2000),Chris Thompson ($3000),140.3
Matt Ryan ($6700),Christian McCaffrey ($10000),Alvin Kamara ($7200),Calvin Ridley ($6100),DK Metcalf ($5800),Marquise Brown ($5100),Ian Thomas ($3400),Lions ($2700),Chris Thompson ($3000),140.2
