first,last,suffix,pos,dob,col,id_armchair,id_nfl_old,id_ffcalc,id_underdog,id_gsis,id_esd,id_nfl_new
ameer,abdullah,NA,RB,06/13/1993,Nebraska,AA-0025,2552374,2293,83210e6f-4909-48d2-9ab3-43644e4968f3,00-0032104,ABD647726,32013030-2d30-3033-3231-3034b84feb82
alvester,alexander,NA,RB,10/17/1990,Wyoming,AA-0525,2534844,NA,NA,00-0029331,ALE071678,NA
austin,allen,NA,QB,08/21/1994,Arkansas,AA-0534,2560953,NA,NA,00-0034608,ALL061415,NA
austin,appleby,NA,QB,06/04/1993,Florida,AA-0554,NA,NA,NA,NA,NA,NA
alex,armah,NA,RB,05/17/1994,West Georgia,AA-0557,2558833,NA,0ff4b4bb-ae57-4091-858a-2a0c190185bd,00-0033296,ARM000892,32013030-2d30-3033-3332-3936a29f674a
antony,auclair,NA,TE,05/28/1993,Laval,AA-0581,2559044,NA,0c7deb07-e9e1-488b-b71f-007ac2d5e08a,00-0033421,AUC385627,32013030-2d30-3033-3334-32316f697616
abdul-karim,al-jabbar,NA,RB,06/28/1974,UCLA,AA-0600,2499348,NA,NA,NA,NA,NA
anthony,allen,NA,RB,08/06/1988,Georgia Tech,AA-0800,2508138,NA,NA,00-0028163,ALL055530,32013030-2d30-3032-3831-36336308f66a
armando,allen,NA,RB,04/30/1989,Notre Dame,AA-0900,2495257,NA,NA,00-0028565,ALL059152,32013030-2d30-3032-3831-36336308f66a
armando,allen,NA,RB,04/30/1989,Notre Dame,AA-0900,2495257,NA,NA,00-0028565,ALL059152,32013030-2d30-3032-3835-3635b6007d86
aundrae,allison,NA,WR,04/20/1986,East Carolina,AA-1100,2495532,NA,NA,00-0025533,ALL709826,NA
andre,anderson,NA,RB,05/01/1988,Tulane,AA-1300,2508094,NA,NA,00-0027906,AND045205,NA
antonio,andrews,NA,RB,10/15/1992,Western Kentucky,AA-1350,2550474,NA,NA,00-0030789,AND650999,32013030-2d30-3033-3037-3839867effd5
anthony,armstrong,NA,WR,03/29/1983,West Texas A&M,AA-1600,2507539,NA,NA,00-0026465,ARM101839,32013030-2d30-3032-3634-3635b54d1cb0
adrian,arrington,NA,WR,11/07/1985,Michigan,AA-1700,1058,NA,NA,00-0026377,ARR162645,32013030-2d30-3032-3633-37372f0b8fa8
alex,bachman,NA,WR,05/29/1996,Wake Forest,AB-0025,2563301,NA,NA,00-0035602,BAC323004,NA
aaron,bailey,NA,QB,NA,Northern Iowa,AB-0050,NA,NA,NA,NA,NA,NA
alex,bannister,NA,WR,04/23/1979,Eastern Kentucky,AB-0400,2504617,NA,NA,NA,NA,NA
alex,barnes,NA,RB,10/27/1996,Kansas State,AB-0575,2562426,NA,NA,00-0035512,BAR237048,NA
arnaz,battle,NA,WR,02/22/1980,Notre Dame,AB-0800,2505571,NA,NA,00-0022064,BAT409475,32013030-2d30-3032-3230-363437f62ea4
alex,bayer,NA,TE,11/08/1990,Bowling Green,AB-0975,2550424,NA,NA,00-0030975,BAY012833,NA
anthony,becht,NA,TE,08/08/1977,West Virginia,AB-1100,2504099,NA,NA,00-0019457,BEC035999,32013030-2d30-3031-3934-3537d06e129d
andrew,beck,NA,RB,05/15/1996,Texas,AB-1125,NA,NA,8afe87d3-3e3f-4ba6-b2d9-7432fc00d808,NA,NA,NA
arrelious,benn,NA,WR,09/08/1988,Illinois,AB-1200,497270,NA,NA,00-0027654,BEN192067,32013030-2d30-3032-3736-3534e1a99468
adam,bergen,NA,TE,09/03/1983,Lehigh,AB-1300,2506243,NA,NA,NA,NA,NA
armon,binns,NA,WR,09/08/1989,Cincinnati,AB-1700,2495446,NA,NA,00-0028400,BIN720265,32013030-2d30-3032-3834-303014dffc1c
avion,black,NA,WR,04/24/1977,Tennessee State,AB-1900,2504172,NA,NA,NA,NA,NA
alec,bloom,NA,TE,04/03/1996,Connecticut,AB-1956,2561183,NA,NA,00-0034472,BLO252549,NA
alfred,blue,NA,RB,04/27/1991,LSU,AB-1975,2543600,2164,NA,00-0031075,BLU106654,32013030-2d30-3033-3130-3735f9bae15f
anquan,boldin,NA,WR,10/03/1980,Florida State,AB-2000,2505587,101,NA,00-0022084,BOL283010,32013030-2d30-3032-3230-38343770790e
alan,bonner,NA,WR,11/05/1990,Jacksonville State,AB-2050,2540260,NA,NA,00-0030105,BON589081,NA
andrew,bonnet,NA,RB,12/27/1992,North Dakota State,AB-2075,NA,NA,NA,NA,NA,NA
allen,bradford,NA,RB,08/31/1988,USC,AB-2500,2495125,NA,NA,00-0028125,BRA094086,32013030-2d30-3032-3831-3235f491e956
ahmad,bradshaw,NA,RB,03/19/1986,Marshall,AB-2600,2495560,117,NA,00-0025637,BRA254359,32013030-2d30-3032-3536-33375c8435f2
anthony,bright,NA,WR,03/28/1977,Valencia,AB-2800,2504768,NA,NA,NA,NA,NA
aaron,brooks,NA,QB,03/24/1976,Virginia,AB-2900,2499800,NA,NA,NA,NA,NA
aj,brown,NA,WR,06/30/1997,Mississippi,AB-3150,2562238,3247,55e9016f-508a-483b-91d3-827a7c161888,00-0035676,BRO413223,32013030-2d30-3033-3536-3736617676fa
aaron,brown,NA,RB,10/10/1985,Texas Christian,AB-3200,2507795,NA,NA,00-0027129,BRO238412,32013030-2d30-3032-3731-323975915d96
algernon,brown,NA,RB,11/29/1991,Brigham Young,AB-3350,2559146,NA,NA,00-0033736,BRO247000,NA
andre,brown,NA,RB,12/15/1986,North Carolina State,AB-3400,2507790,NA,NA,00-0027094,BRO251022,32013030-2d30-3032-3730-3934551d8d0c
antonio,brown,NA,WR,07/10/1988,Central Michigan,AB-3500,2508061,1886,a43a0fa7-4f55-4c71-aa08-72f11e5f2cd5,00-0027793,BRO000001,32013030-2d30-3032-3737-393324cab550
antonio,brown,NA,WR,03/03/1978,West Virginia,AB-3550,2505242,1886,a43a0fa7-4f55-4c71-aa08-72f11e5f2cd5,NA,NA,NA
arland,bruce,NA,WR,11/23/1977,Minnesota,AB-3600,2503923,NA,NA,NA,NA,NA
antonio,bryant,NA,WR,03/09/1981,Pittsburgh,AB-3800,2505061,NA,NA,00-0021191,BRY210393,NA
aaron,burbridge,NA,WR,12/23/1993,Michigan State,AB-3862,2555362,NA,NA,00-0032441,BUR012358,32013030-2d30-3033-3234-34313fd06baf
andre,caldwell,NA,WR,04/15/1985,Florida,AC-0100,206,NA,NA,00-0026237,CAL102494,32013030-2d30-3032-3632-3337d0ecaeae
antonio,callaway,NA,WR,01/09/1997,Florida,AC-0237,2560988,NA,NA,00-0034772,CAL612552,32013030-2d30-3033-3437-3732a8baa413
avius,capers,NA,WR,05/30/1992,Johnson C Smith,AC-0350,2554335,NA,NA,00-0032277,CAP097003,NA
amir,carlisle,NA,WR,09/24/1992,Notre Dame,AC-0375,2556422,NA,NA,00-0032487,CAR106626,NA
austin,carr,NA,WR,12/25/1993,Northwestern,AC-0387,2558928,NA,2c09e52f-8880-466a-bcb5-882beb4274b2,00-0033382,CAR343555,32013030-2d30-3033-3333-38323799c5fa
aveion,cason,NA,RB,07/12/1979,Illinois State,AC-1100,2504353,NA,NA,NA,NA,NA
antonio,chatman,NA,WR,02/12/1979,Cincinnati,AC-1300,2504428,NA,NA,NA,NA,NA
alex,chisum,NA,WR,11/06/1992,Cincinnati,AC-1375,2557532,NA,NA,00-0033166,CHI790782,NA
adam,choice,NA,RB,11/30/1995,Clemson,AC-1381,2563021,NA,NA,00-0035086,CHO388090,NA
asante,cleveland,NA,TE,03/21/1992,Miami (FL),AC-1650,2550454,NA,NA,00-0030832,CLE667867,32013030-2d30-3033-3038-3332c579ac57
avon,cobourne,NA,RB,03/06/1979,West Virginia,AC-1700,2505289,NA,NA,NA,NA,NA
austin,collie,NA,WR,11/11/1985,Brigham Young,AC-2100,81282,1698,NA,00-0027092,COL397342,32013030-2d30-3032-3730-393273bb2101
alex,collins,NA,RB,08/26/1994,Arkansas,AC-2150,2555430,2391,NA,00-0032426,COL479374,32013030-2d30-3033-3234-323612f9dc9b
albert,connell,NA,WR,05/13/1974,Texas A&M,AC-2300,2500172,NA,NA,NA,NA,NA
amari,cooper,NA,WR,06/17/1994,Alabama,AC-2350,2552487,2277,5fa71ebf-5fcd-4a85-b058-f3f607d1cd4b,00-0031544,COO487703,32013030-2d30-3033-3135-3434ca99a9bc
adrian,coxson,NA,WR,08/14/1992,Stony Brook,AC-2375,2553509,NA,NA,NA,COX813852,NA
alan,cross,NA,TE,05/02/1993,Memphis,AC-2450,2556508,NA,NA,00-0032745,CRO396537,32013030-2d30-3033-3237-343594c26640
alge,crumpler,NA,TE,12/23/1977,North Carolina,AC-2700,2504554,NA,NA,00-0020285,CRU467810,00-0020285
andy,cruse,NA,WR,01/13/1990,Miami (OH),AC-2750,2541813,NA,NA,00-0030230,CRU567222,NA
aj,cruz,NA,WR,02/20/1991,Brown,AC-2775,2554331,NA,NA,00-0032270,CRU779150,NA
